Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
36026e95-530b-43a4-bd24-1c77ba90a7aa,"2020-06-08, 11:18:31 AM",Administrator,ListPolicies,,,,us-east-1,,96.250.109.236
537e4b2d-4a03-4860-a8a4-559780a3b8da,"2020-06-08, 11:18:31 AM",Administrator,GetPolicy,,,,us-east-1,,96.250.109.236
5c6ace0a-4333-46ac-8a2b-dfa00dcb27d0,"2020-06-08, 11:18:31 AM",Administrator,ListAccountAliases,,,,us-east-1,,96.250.109.236
76ab5536-b964-4894-bbe9-e5a7e5b9b625,"2020-06-08, 11:18:31 AM",Administrator,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,96.250.109.236
15cce841-97d8-4909-84be-22dcf7cd9ca8,"2020-06-08, 11:18:30 AM",Administrator,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,96.250.109.236
6999e6e4-e2af-4ab4-844d-213164cf71b6,"2020-06-08, 11:18:30 AM",Administrator,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2NAYKUZ2I6R5ICLCD""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::715163084404:user/CloudTrail""}]",,us-east-1,,96.250.109.236
6a78b6ab-556c-4584-b7f4-842cefdada29,"2020-06-08, 11:18:30 AM",Administrator,ListGroupsForUser,,,,us-east-1,,96.250.109.236
98ddc64b-ea22-4102-a571-b92dd39e7a1a,"2020-06-08, 11:18:30 AM",Administrator,ListUsers,,,,us-east-1,,96.250.109.236
d3a0fa1a-d108-4c0b-8141-1f35826266c7,"2020-06-08, 11:18:30 AM",Administrator,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,96.250.109.236
b3b3cea5-9442-4a8f-8863-70e106d81d24,"2020-06-08, 11:18:07 AM",Administrator,DescribeEventAggregates,,,,us-east-1,,96.250.109.236
